"max_depth","eta","nrounds","subsample","colsample_bytree","lambda","alpha","R2_test1","R2_test2","R2_avg","selected"
7,0.01,100,0.6,0.8,0,0.5,-1.39689563439088,-2.34379913563573,-1.8703473850133,31
9,0.01,100,0.6,0.6,0,0.5,-1.43494728927471,-2.35305671410207,-1.89400200168839,30
3,0.01,200,0.6,0.6,0,1,0.371335216582907,0.187100408347474,0.279217812465191,24
5,0.01,200,0.8,0.8,0.5,1,0.352988337873928,0.14012534293038,0.246556840402154,23
5,0.01,100,0.6,0.8,0,0,-1.3796871663778,-2.31176754455304,-1.84572735546542,22
7,0.01,200,1,0.6,0,1,0.379076049083781,0.124667470166336,0.251871759625058,22
9,0.05,100,0.6,1,0.5,0.5,0.581632061640757,0.548273714936593,0.564952888288675,21
7,0.01,100,0.6,1,0,1,-1.39890299246774,-2.41345030726208,-1.90617664986491,20
3,0.01,200,0.6,0.8,2,0.5,0.268914954572398,0.0677102712339249,0.168312612903162,20
7,0.01,500,0.6,0.6,2,1,0.509327491989328,0.528979432136323,0.519153462062826,20
9,0.3,100,0.6,0.8,0.5,1,0.413678926639916,0.487489080076866,0.450584003358391,17
7,0.01,100,0.6,0.6,0,0,-1.40267638828783,-2.31212629465827,-1.85740134147305,16
3,0.01,100,0.6,1,1,0.5,-1.54309721319822,-2.5721803013095,-2.05763875725386,16
3,0.01,100,0.6,1,2,1,-1.67592928195177,-2.68051117645416,-2.17822022920297,16
9,0.01,100,0.6,0.6,0,0,-1.47244874903272,-2.35345135613144,-1.91295005258208,15
3,0.01,100,0.6,0.8,0,0.5,-1.36874848582316,-2.32537961217235,-1.84706404899775,15
3,0.01,100,0.8,0.8,1,1,-1.47321867067736,-2.48429970860184,-1.9787591896396,15
5,0.01,100,0.8,1,2,1,-1.59278202055919,-2.55455047503301,-2.0736662477961,15
7,0.01,200,0.8,1,1,0,0.304397790816891,0.0901389927718941,0.197268391794392,15
3,0.01,200,0.8,0.6,1,0.5,0.320249520205956,0.124170561929637,0.222210041067797,15
5,0.1,200,0.6,0.8,2,1,0.525510449424999,0.57468535508535,0.550097902255175,15
3,0.05,500,1,1,2,0,0.546041572782951,0.652529507810824,0.599285540296888,15
3,0.3,100,0.6,0.8,2,0,0.404881970123794,0.538477154201173,0.471679562162484,14
3,0.1,100,0.8,1,2,0,0.614492795647895,0.661961298984454,0.638227047316174,14
3,0.01,100,1,0.6,1,0.5,-1.50148748235108,-2.46904908479965,-1.98526828357536,14
9,0.01,100,0.6,0.8,0,1,-1.43100469913253,-2.38481940963877,-1.90791205438565,14
5,0.01,100,0.6,0.6,0.5,1,-1.5490646511784,-2.50244208311332,-2.02575336714586,14
3,0.05,200,0.8,1,2,0,0.586450694997437,0.660369623654477,0.623410159325957,14
5,0.3,500,1,0.8,2,0,0.538926544728995,0.62795329263569,0.583439918682343,14
3,0.3,100,1,0.6,1,0,0.477139230564354,0.583107999888969,0.530123615226661,13
7,0.01,100,1,0.6,0,0.5,-1.38872778383031,-2.40574183744227,-1.89723481063629,13
7,0.01,100,1,0.6,1,0.5,-1.54418025402072,-2.44029896689479,-1.99223961045775,13
3,0.01,100,0.8,0.8,2,0.5,-1.61280700571122,-2.54519558678273,-2.07900129624698,13
5,0.1,100,0.6,1,0,1,0.594552390089014,0.613625161196037,0.604088775642526,13
7,0.01,100,0.8,0.6,0.5,1,-1.51013978524939,-2.4395828100055,-1.97486129762744,13
3,0.01,100,0.6,0.8,0.5,1,-1.47519717502517,-2.48153537891707,-1.97836627697112,13
9,0.01,100,0.6,1,2,1,-1.67266689344794,-2.67352566854665,-2.17309628099729,13
7,0.1,100,0.8,1,2,1,0.516765024381307,0.543930090047977,0.530347557214642,13
5,0.3,200,0.8,0.8,1,0,0.526467566252257,0.593785001340307,0.560126283796282,13
3,0.01,200,0.8,1,2,0,0.284836900079986,0.133515679580076,0.209176289830031,13
5,0.01,200,0.8,1,1,0.5,0.320772153154263,0.138709722377863,0.229740937766063,13
9,0.01,500,1,0.8,0.5,0.5,0.596693067358597,0.591411579181069,0.594052323269833,13
3,0.1,500,0.8,0.6,1,1,0.628400587622109,0.608463134993338,0.618431861307724,13
9,0.3,500,1,0.8,1,1,0.467280076703529,0.483023427095778,0.475151751899653,13
3,0.01,100,0.8,0.8,0,0,-1.35332228596788,-2.30554151479316,-1.82943190038052,12
9,0.01,100,0.6,1,0,0,-1.37933450419228,-2.30048927474373,-1.839911889468,12
9,0.05,100,0.6,1,0.5,0,0.575740036514669,0.541574182563104,0.558657109538886,12
3,0.01,100,0.8,0.8,1,0,-1.48185828786067,-2.50936594907891,-1.99561211846979,12
3,0.01,100,0.6,0.6,2,0,-1.68535396762368,-2.70879742301652,-2.1970756953201,12
7,0.01,100,0.8,0.6,2,0,-1.66983186141804,-2.56490812722153,-2.11736999431979,12
3,0.01,100,1,0.6,0.5,0.5,-1.42583360586758,-2.42709348921733,-1.92646354754245,12
5,0.05,100,0.6,0.8,0.5,0.5,0.621560936333232,0.522727692452581,0.572144314392907,12
5,0.01,100,0.6,1,1,0.5,-1.56980531509582,-2.56619595243031,-2.06800063376307,12
9,0.05,100,0.8,0.6,2,0.5,0.501721349001642,0.503562722793262,0.502642035897452,12
7,0.01,100,0.6,1,2,0.5,-1.70672882872297,-2.68638457296001,-2.19655670084149,12
9,0.01,100,0.8,0.8,0.5,1,-1.4737507074436,-2.50031136851551,-1.98703103797955,12
3,0.05,100,0.6,0.6,1,1,0.589906731357803,0.585435564508176,0.587671147932989,12
7,0.01,100,0.8,0.6,1,1,-1.53692630966906,-2.4659006644722,-2.00141348707063,12
5,0.01,100,0.6,0.8,1,1,-1.62110137997282,-2.59601874308854,-2.10856006153068,12
5,0.01,100,0.6,0.8,2,1,-1.68704888526536,-2.69712704033612,-2.19208796280074,12
9,0.01,100,0.8,0.8,2,1,-1.62868138801412,-2.59560265794029,-2.11214202297721,12
9,0.3,200,0.8,1,1,0,0.608207661099278,0.562343570994324,0.585275616046801,12
9,0.01,200,1,0.6,0,0.5,0.369795106035357,0.106823087194873,0.238309096615115,12
3,0.01,200,0.6,0.6,1,0.5,0.29932052476972,0.104441786806176,0.201881155787948,12
3,0.3,200,0.6,1,2,0.5,0.50046693201139,0.319998932733506,0.410232932372448,12
5,0.01,200,0.6,1,0,1,0.394424444469961,0.176693709457712,0.285559076963836,12
9,0.01,200,0.8,0.6,0.5,1,0.323981627787653,0.141458858099148,0.2327202429434,12
5,0.01,200,0.8,0.6,1,1,0.292024837230759,0.097870684163647,0.194947760697203,12
7,0.1,200,0.6,0.6,2,1,0.443955855602801,0.457281709934609,0.450618782768705,12
3,0.01,500,0.8,0.8,1,0,0.618069908396401,0.621934799916128,0.620002354156264,12
3,0.05,500,0.8,1,1,0,0.612465987178274,0.576227122152945,0.594346554665609,12
5,0.01,500,0.8,1,0.5,0.5,0.604943133183437,0.613779279342652,0.609361206263045,12
3,0.01,500,0.8,1,1,0.5,0.60200462633397,0.626550976489572,0.614277801411771,12
7,0.01,500,0.8,0.6,2,0.5,0.545769738159405,0.589882895566723,0.567826316863064,12
9,0.1,500,1,0.8,0,1,0.615106715070561,0.606374340983239,0.6107405280269,12
5,0.3,500,1,1,1,1,0.476291604195377,0.512633794737279,0.494462699466328,12
7,0.05,500,0.6,0.6,2,1,0.511707163178289,0.51036078534248,0.511033974260385,12
3,0.05,500,0.8,1,2,1,0.5838768190013,0.625720433540005,0.604798626270652,12
9,0.01,100,0.8,0.6,0,0,-1.41385969782706,-2.30364306460044,-1.85875138121375,11
9,0.01,100,0.6,0.8,0,0,-1.39875470054287,-2.33774357996011,-1.86824914025149,11
5,0.01,100,0.8,0.8,0,0,-1.38583048546319,-2.34517944003356,-1.86550496274838,11
7,0.01,100,0.8,1,0,0,-1.36137164412403,-2.31271589184587,-1.83704376798495,11
7,0.01,100,0.6,0.6,2,0,-1.78464978058284,-2.74454216519297,-2.26459597288791,11
5,0.01,100,0.6,0.6,0,0.5,-1.42432696762506,-2.32352685037211,-1.87392690899859,11
3,0.01,100,1,0.6,0,0.5,-1.38867952986199,-2.37309275225331,-1.88088614105765,11
7,0.01,100,0.8,0.6,0.5,0.5,-1.52590818750881,-2.46330808297362,-1.99460813524122,11
3,0.05,100,0.6,0.8,1,0.5,0.588540163120272,0.606469885456291,0.597505024288281,11
9,0.01,100,1,1,1,0.5,-1.47277540542012,-2.515131544708,-1.99395347506406,11
5,0.01,100,0.6,0.6,0,1,-1.41810641183956,-2.35387698699448,-1.88599169941702,11
7,0.05,100,0.6,0.6,0,1,0.62544234594947,0.589337855424226,0.607390100686848,11
7,0.01,100,1,0.8,0,1,-1.37747465988624,-2.44350595858011,-1.91049030923317,11
7,0.01,100,0.6,0.6,1,1,-1.64460084875116,-2.56278482904866,-2.10369283889991,11
9,0.01,100,0.6,0.6,2,1,-1.69126908524858,-2.65260538277951,-2.17193723401405,11
7,0.3,100,0.8,0.8,2,1,0.456283735944635,0.54926285493013,0.502773295437382,11
5,0.05,200,0.6,0.8,0.5,0.5,0.612492632306497,0.592145525992813,0.602319079149655,11
9,0.01,200,0.6,0.6,1,0.5,0.281823025640711,0.0776905118157386,0.179756768728225,11
5,0.1,200,0.8,1,1,0.5,0.563540334997325,0.618645107736798,0.591092721367061,11
5,0.01,200,0.8,0.6,0,1,0.372641723472308,0.174710190661948,0.273675957067128,11
5,0.01,200,1,0.6,1,1,0.302312618869095,0.146804241191315,0.224558430030205,11
3,0.01,200,0.8,0.8,2,1,0.323187200226569,0.136429836100101,0.229808518163335,11
5,0.05,200,0.6,1,2,1,0.512901993399925,0.557377290525529,0.535139641962727,11
7,0.1,500,0.6,0.6,0.5,0,0.498561430227532,0.573932720899191,0.536247075563361,11
7,0.1,500,0.6,0.8,1,0,0.504618817196469,0.539159377082333,0.521889097139401,11
7,0.3,500,0.6,0.8,1,0,0.382595848953018,0.555831819313028,0.469213834133023,11
3,0.01,500,1,0.8,1,0,0.582106056405709,0.633516389526366,0.607811222966038,11
9,0.05,500,0.8,1,1,0,0.570369076155086,0.623048487158951,0.596708781657019,11
3,0.01,500,0.8,0.6,2,0,0.580963203846444,0.642907542151061,0.611935372998752,11
5,0.01,500,0.8,1,2,0,0.563594329829082,0.625433624917341,0.594513977373212,11
9,0.3,500,0.6,1,0.5,0.5,0.556085210965713,0.461672558186727,0.50887888457622,11
