"mtry","ntree","nodesize","R2_test1","R2_test2","R2_avg","selected"
200,350,2,0.657440328160672,0.697788517921725,0.677614423041199,0
200,750,25,0.658622750215511,0.695469856636828,0.677046303426169,0
150,200,25,0.653879344940614,0.698988430637029,0.676433887788821,0
200,1000,25,0.655040000787623,0.697498814144576,0.676269407466099,0
150,750,25,0.650633555382323,0.701205316139662,0.675919435760992,0
200,200,10,0.650111439553837,0.700913530068105,0.675512484810971,0
200,100,4,0.651245263239152,0.699371357448541,0.675308310343847,0
150,200,4,0.664943012190329,0.685465067775503,0.675204039982916,0
200,750,5,0.654702897321121,0.694806378660499,0.67475463799081,0
150,100,25,0.655571635658534,0.693025803589556,0.674298719624045,0
150,500,25,0.647997331010624,0.700483112714551,0.674240221862588,0
200,200,25,0.652582539698462,0.695801921168639,0.674192230433551,0
150,1000,3,0.648919753181018,0.699331438550934,0.674125595865976,0
200,100,2,0.645757631701461,0.702032576320571,0.673895104011016,0
100,200,16,0.649630099156711,0.698054324277587,0.673842211717149,0
150,350,5,0.652741848202718,0.694734413768651,0.673738130985684,0
150,1000,16,0.647142489155641,0.700224035767001,0.673683262461321,0
150,500,3,0.655049060451453,0.69187693814902,0.673462999300236,0
150,1000,10,0.655281369086582,0.691595002265194,0.673438185675888,0
150,750,10,0.648786994600457,0.69789580398837,0.673341399294414,0
100,500,10,0.647690849664753,0.698584262876752,0.673137556270752,0
150,500,5,0.64683697407558,0.69934468848832,0.67309083128195,0
150,1000,4,0.648285711748008,0.697563414453167,0.672924563100588,0
100,350,16,0.65090123447889,0.694530502336413,0.672715868407651,0
200,350,16,0.652763119096461,0.692432178337126,0.672597648716794,0
150,500,4,0.6558872701385,0.689110780865945,0.672499025502223,0
100,200,25,0.647599330535148,0.697092342941807,0.672345836738477,0
200,1000,16,0.651698021010245,0.692918116645133,0.672308068827689,0
200,100,25,0.649841454760866,0.694189110863185,0.672015282812025,0
150,500,16,0.649685111489843,0.694093609957025,0.671889360723434,0
150,750,4,0.651779852524396,0.691916404907865,0.671848128716131,0
200,200,16,0.653616443300644,0.68975430393313,0.671685373616887,0
200,750,16,0.649787957785693,0.693237740432914,0.671512849109303,0
150,200,5,0.64658183999273,0.696363293692862,0.671472566842796,0
150,1000,5,0.65032308106196,0.692476468462872,0.671399774762416,0
150,1000,25,0.648820432409029,0.693902116020473,0.671361274214751,0
200,500,10,0.652379920193606,0.690203788336716,0.671291854265161,0
200,1000,3,0.654736599435237,0.68750672780012,0.671121663617678,0
