"source_file","Method","Delta","FDP","Power"
"1","Mars DS",7,0,1
"1","Mars MS",7,0,1
"1","DataSplitting",7,0,0
"1","MultipleDataSplitting",7,0,0
"1","Knockoff",7,1,0
"1","Benjamini–Hochberg (BH)",7,0,0
"2","Mars DS",8,0,1
"2","Mars MS",8,0,1
"2","DataSplitting",8,0,0
"2","MultipleDataSplitting",8,0,0
"2","Knockoff",8,1,0
"2","Benjamini–Hochberg (BH)",8,0,0
"3","Mars DS",9,0,1
"3","Mars MS",9,0,1
"3","DataSplitting",9,0,0
"3","MultipleDataSplitting",9,0,0
"3","Knockoff",9,1,0
"3","Benjamini–Hochberg (BH)",9,0,0
"4","Mars DS",10,0.166666666666667,1
"4","Mars MS",10,0,1
"4","DataSplitting",10,0,0
"4","MultipleDataSplitting",10,0,0
"4","Knockoff",10,1,0
"4","Benjamini–Hochberg (BH)",10,0,0
"5","Mars DS",11,0.166666666666667,1
"5","Mars MS",11,0,1
"5","DataSplitting",11,0,0
"5","MultipleDataSplitting",11,0,0
"5","Knockoff",11,1,0
"5","Benjamini–Hochberg (BH)",11,0,0
"6","Mars DS",12,0.166666666666667,1
"6","Mars MS",12,0,1
"6","DataSplitting",12,0,0
"6","MultipleDataSplitting",12,0,0
"6","Knockoff",12,1,0
"6","Benjamini–Hochberg (BH)",12,0,0
"7","Mars DS",13,0,1
"7","Mars MS",13,0,1
"7","DataSplitting",13,0,0
"7","MultipleDataSplitting",13,0,0
"7","Knockoff",13,1,0
"7","Benjamini–Hochberg (BH)",13,0,0
"8","Mars DS",7,0,0
"8","Mars MS",7,0,0
"8","DataSplitting",7,0,0
"8","MultipleDataSplitting",7,0,0
"8","Knockoff",7,0.9,0.2
"8","Benjamini–Hochberg (BH)",7,0,0
"9","Mars DS",8,0,0
"9","Mars MS",8,0,0
"9","DataSplitting",8,0,0
"9","MultipleDataSplitting",8,0,0
"9","Knockoff",8,0.9,0.2
"9","Benjamini–Hochberg (BH)",8,0,0
"10","Mars DS",9,0,0
"10","Mars MS",9,0,0.2
"10","DataSplitting",9,0,0
"10","MultipleDataSplitting",9,0,0
"10","Knockoff",9,0.9,0.1
"10","Benjamini–Hochberg (BH)",9,0,0
"11","Mars DS",10,0,0
"11","Mars MS",10,0,0
"11","DataSplitting",10,0,0
"11","MultipleDataSplitting",10,0,0
"11","Knockoff",10,0.9,0.2
"11","Benjamini–Hochberg (BH)",10,0,0
"12","Mars DS",11,0,0
"12","Mars MS",11,0,0.3
"12","DataSplitting",11,0,0
"12","MultipleDataSplitting",11,0,0
"12","Knockoff",11,0.9,0.2
"12","Benjamini–Hochberg (BH)",11,0,0
"13","Mars DS",12,0,0
"13","Mars MS",12,0,0.2
"13","DataSplitting",12,0,0
"13","MultipleDataSplitting",12,0,0
"13","Knockoff",12,0.9,0.1
"13","Benjamini–Hochberg (BH)",12,0,0
"14","Mars DS",13,0,0
"14","Mars MS",13,0,0.5
"14","DataSplitting",13,0,0
"14","MultipleDataSplitting",13,0,0
"14","Knockoff",13,0.9,0.1
"14","Benjamini–Hochberg (BH)",13,0,0
"15","Mars DS",7,0.1,0.9
"15","Mars MS",7,0,0.7
"15","DataSplitting",7,0,0
"15","MultipleDataSplitting",7,0,0
"15","Knockoff",7,0,0
"15","Benjamini–Hochberg (BH)",7,0,0
"16","Mars DS",8,0.1,0.9
"16","Mars MS",8,0,0.7
"16","DataSplitting",8,0,0
"16","MultipleDataSplitting",8,0,0
"16","Knockoff",8,0,0
"16","Benjamini–Hochberg (BH)",8,0,0
"17","Mars DS",9,0.1,0.9
"17","Mars MS",9,0,0.7
"17","DataSplitting",9,0,0
"17","MultipleDataSplitting",9,0,0
"17","Knockoff",9,0,0
"17","Benjamini–Hochberg (BH)",9,0,0
"18","Mars DS",10,0.1,0.9
"18","Mars MS",10,0,0.5
"18","DataSplitting",10,0,0
"18","MultipleDataSplitting",10,0,0
"18","Knockoff",10,0,0
"18","Benjamini–Hochberg (BH)",10,0,0
