"Method","Delta","FDP","Power"
"Boost DS",7,0,0.8
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0952380952380952,0.76
"Boost MS",7,0,0.76
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.230769230769231,0.8
"Boost MS",7,0.230769230769231,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0952380952380952,0.76
"Boost MS",7,0,0.76
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0869565217391304,0.84
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0416666666666667,0.92
"Boost MS",7,0,0.92
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0.88
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0952380952380952,0.76
"Boost MS",7,0.0476190476190476,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.12,0.88
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.178571428571429,0.92
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0909090909090909,0.8
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0869565217391304,0.84
"Boost MS",7,0.08,0.92
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0434782608695652,0.88
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
