"","Method","Delta","FDP","Power"
"1","Knockoff",7,0,0.64
"2","Knockoff",8,0,0.64
"3","Knockoff",9,0,0.64
"4","Knockoff",10,0,0.64
"5","Knockoff",11,0,0.64
"6","Knockoff",12,0,0.64
"7","Knockoff",13,0,0.64
"8","Knockoff",7,0.2,0.8
"9","Knockoff",8,0.2,0.8
"10","Knockoff",9,0.285714285714286,0.8
"11","Knockoff",10,0.259259259259259,0.8
"12","Knockoff",11,0.166666666666667,0.8
"13","Knockoff",12,0.285714285714286,0.8
"14","Knockoff",13,0.34375,0.84
"15","Knockoff",7,0.0434782608695652,0.88
"16","Knockoff",8,0.16,0.84
"17","Knockoff",9,0.0833333333333333,0.88
"18","Knockoff",10,0.153846153846154,0.88
"19","Knockoff",11,0.125,0.84
"20","Knockoff",12,0.0454545454545455,0.84
"21","Knockoff",13,0.0454545454545455,0.84
"22","Knockoff",7,0.0869565217391304,0.84
"23","Knockoff",8,0.12,0.88
"24","Knockoff",9,0.12,0.88
"25","Knockoff",10,0.0909090909090909,0.8
"26","Knockoff",11,0.130434782608696,0.8
"27","Knockoff",12,0,0.8
"28","Knockoff",13,0.0454545454545455,0.84
"29","Knockoff",7,0.0454545454545455,0.84
"30","Knockoff",8,0.0454545454545455,0.84
"31","Knockoff",9,0,0.84
"32","Knockoff",10,0,0.84
"33","Knockoff",11,0,0.84
"34","Knockoff",12,0.0833333333333333,0.88
"35","Knockoff",13,0.0434782608695652,0.88
"36","Knockoff",7,0.192307692307692,0.84
"37","Knockoff",8,0.0869565217391304,0.84
"38","Knockoff",9,0.12,0.88
"39","Knockoff",10,0.241379310344828,0.88
"40","Knockoff",11,0.0952380952380952,0.76
"41","Knockoff",12,0.0476190476190476,0.8
"42","Knockoff",13,0.16,0.84
"43","Knockoff",7,0.185185185185185,0.88
"44","Knockoff",8,0.16,0.84
"45","Knockoff",9,0.16,0.84
"46","Knockoff",10,0.222222222222222,0.84
"47","Knockoff",11,0.125,0.84
"48","Knockoff",12,0.16,0.84
"49","Knockoff",13,0.0454545454545455,0.84
"50","Knockoff",7,0,0.92
"51","Knockoff",8,0,0.92
"52","Knockoff",9,0.115384615384615,0.92
"53","Knockoff",10,0.0416666666666667,0.92
"54","Knockoff",11,0.28125,0.92
"55","Knockoff",12,0,0.92
"56","Knockoff",13,0.0416666666666667,0.92
"57","Knockoff",7,0.260869565217391,0.68
"58","Knockoff",8,0,0.68
"59","Knockoff",9,0.173913043478261,0.76
"60","Knockoff",10,0.181818181818182,0.72
"61","Knockoff",11,0.1,0.72
"62","Knockoff",12,0,0.68
"63","Knockoff",13,0.15,0.68
"64","Knockoff",7,0,0.88
"65","Knockoff",8,0.0769230769230769,0.96
"66","Knockoff",9,0.111111111111111,0.96
"67","Knockoff",10,0.12,0.88
"68","Knockoff",11,0.142857142857143,0.96
"69","Knockoff",12,0.0416666666666667,0.92
"70","Knockoff",13,0.2,0.96
"71","Knockoff",7,0.0952380952380952,0.76
"72","Knockoff",8,0,0.8
"73","Knockoff",9,0.0909090909090909,0.8
"74","Knockoff",10,0,0.8
"75","Knockoff",11,0.125,0.84
"76","Knockoff",12,0.0476190476190476,0.8
"77","Knockoff",13,0.0869565217391304,0.84
"78","Knockoff",7,0.275862068965517,0.84
"79","Knockoff",8,0.16,0.84
"80","Knockoff",9,0.3,0.84
"81","Knockoff",10,0.125,0.84
"82","Knockoff",11,0.3,0.84
"83","Knockoff",12,0.125,0.84
"84","Knockoff",13,0.34375,0.84
"85","Knockoff",7,0,0.8
"86","Knockoff",8,0,0.8
"87","Knockoff",9,0.0476190476190476,0.8
"88","Knockoff",10,0.0476190476190476,0.8
"89","Knockoff",11,0.0476190476190476,0.8
"90","Knockoff",12,0.0476190476190476,0.8
"91","Knockoff",13,0.0476190476190476,0.8
"92","Knockoff",7,0,0.96
"93","Knockoff",8,0,0.96
"94","Knockoff",9,0.0769230769230769,0.96
"95","Knockoff",10,0.0769230769230769,0.96
"96","Knockoff",11,0.04,0.96
"97","Knockoff",12,0,0.96
"98","Knockoff",13,0.225806451612903,0.96
"99","Knockoff",7,0.0833333333333333,0.88
"100","Knockoff",8,0.12,0.88
"101","Knockoff",9,0.153846153846154,0.88
"102","Knockoff",10,0.214285714285714,0.88
"103","Knockoff",11,0.125,0.84
"104","Knockoff",12,0.12,0.88
"105","Knockoff",13,0.0833333333333333,0.88
"106","Knockoff",7,0.0476190476190476,0.8
"107","Knockoff",8,0.0869565217391304,0.84
"108","Knockoff",9,0.0476190476190476,0.8
"109","Knockoff",10,0.0454545454545455,0.84
"110","Knockoff",11,0.125,0.84
"111","Knockoff",12,0,0.8
"112","Knockoff",13,0,0.8
"113","Knockoff",7,0.28,0.72
"114","Knockoff",8,0.24,0.76
"115","Knockoff",9,0.217391304347826,0.72
"116","Knockoff",10,0.217391304347826,0.72
"117","Knockoff",11,0.142857142857143,0.72
"118","Knockoff",12,0.217391304347826,0.72
"119","Knockoff",13,0.105263157894737,0.68
"120","Knockoff",7,0,0.8
"121","Knockoff",8,0.0476190476190476,0.8
"122","Knockoff",9,0,0.8
"123","Knockoff",10,0,0.8
"124","Knockoff",11,0,0.8
"125","Knockoff",12,0,0.8
"126","Knockoff",13,0.0869565217391304,0.84
"127","Knockoff",7,0.125,0.84
"128","Knockoff",8,0.0476190476190476,0.8
"129","Knockoff",9,0.0476190476190476,0.8
"130","Knockoff",10,0.0476190476190476,0.8
"131","Knockoff",11,0.0909090909090909,0.8
"132","Knockoff",12,0.130434782608696,0.8
"133","Knockoff",13,0.166666666666667,0.8
"134","Knockoff",7,0.05,0.76
"135","Knockoff",8,0.05,0.76
"136","Knockoff",9,0.05,0.76
"137","Knockoff",10,0,0.76
"138","Knockoff",11,0,0.76
"139","Knockoff",12,0,0.76
"140","Knockoff",13,0,0.76
"141","Knockoff",7,0.173913043478261,0.76
"142","Knockoff",8,0,0.8
"143","Knockoff",9,0.0869565217391304,0.84
