"Method","Delta","FDP","Power"
"Boost DS",7,0.230769230769231,0.8
"Boost MS",7,0,0.84
"DataSplitting",7,0.0833333333333333,0.88
"MultipleDataSplitting",7,0.0454545454545455,0.84
"Knockoff",7,0.115384615384615,0.92
"Benjamini–Hochberg (BH)",7,0,0.84
"Boost DS",7,0.0555555555555556,0.68
"Boost MS",7,0,0.84
"DataSplitting",7,0.0434782608695652,0.88
"MultipleDataSplitting",7,0,0.92
"Knockoff",7,0,0.92
"Benjamini–Hochberg (BH)",7,0,0.88
"Boost DS",7,0.19047619047619,0.68
"Boost MS",7,0,0.72
"DataSplitting",7,0.217391304347826,0.72
"MultipleDataSplitting",7,0,0.72
"Knockoff",7,0.0526315789473684,0.72
"Benjamini–Hochberg (BH)",7,0,0.68
"Boost DS",7,0.0666666666666667,0.56
"Boost MS",7,0,0.64
"DataSplitting",7,0.05,0.76
"MultipleDataSplitting",7,0,0.72
"Knockoff",7,0.16,0.84
"Benjamini–Hochberg (BH)",7,0,0.72
"Boost DS",7,0.125,0.56
"Boost MS",7,0,0.64
"DataSplitting",7,0.166666666666667,0.8
"MultipleDataSplitting",7,0,0.8
"Knockoff",7,0.0869565217391304,0.84
"Benjamini–Hochberg (BH)",7,0,0.76
"Boost DS",7,0.1,0.72
"Boost MS",7,0,0.8
"DataSplitting",7,0.0909090909090909,0.8
"MultipleDataSplitting",7,0.0454545454545455,0.84
"Knockoff",7,0.12,0.88
"Benjamini–Hochberg (BH)",7,0,0.76
"Boost DS",7,0,0.6
"Boost MS",7,0,0.72
"DataSplitting",7,0.0869565217391304,0.84
"MultipleDataSplitting",7,0,0.84
"Knockoff",7,0.04,0.96
"Benjamini–Hochberg (BH)",7,0,0.88
"Boost DS",7,0,0.6
"Boost MS",7,0,0.6
"DataSplitting",7,0.1,0.72
"MultipleDataSplitting",7,0,0.76
"Knockoff",7,0,0.8
"Benjamini–Hochberg (BH)",7,0,0.68
"Boost DS",7,0,0
"Boost MS",7,0,0.56
"DataSplitting",7,0,0.6
"MultipleDataSplitting",7,0,0.72
"Knockoff",7,0,0.72
"Benjamini–Hochberg (BH)",7,0,0.64
"Boost DS",7,0.142857142857143,0.72
"Boost MS",7,0,0.84
"DataSplitting",7,0.0434782608695652,0.88
"MultipleDataSplitting",7,0.0434782608695652,0.88
"Knockoff",7,0.0434782608695652,0.88
"Benjamini–Hochberg (BH)",7,0,0.84
"Boost DS",7,0.0625,0.6
"Boost MS",7,0,0.68
"DataSplitting",7,0.230769230769231,0.8
"MultipleDataSplitting",7,0,0.8
"Knockoff",7,0,0.8
"Benjamini–Hochberg (BH)",7,0,0.76
"Boost DS",7,0,0.6
"Boost MS",7,0,0.68
"DataSplitting",7,0.05,0.76
"MultipleDataSplitting",7,0,0.76
"Knockoff",7,0,0.84
"Benjamini–Hochberg (BH)",7,0,0.68
"Boost DS",7,0,0.68
"Boost MS",7,0.05,0.76
"DataSplitting",7,0.0869565217391304,0.84
"MultipleDataSplitting",7,0.125,0.84
"Knockoff",7,0.266666666666667,0.88
"Benjamini–Hochberg (BH)",7,0,0.84
"Boost DS",7,0,0.64
"Boost MS",7,0,0.76
"DataSplitting",7,0,0.92
"MultipleDataSplitting",7,0,0.88
"Knockoff",7,0.0416666666666667,0.92
"Benjamini–Hochberg (BH)",7,0,0.88
"Boost DS",7,0.25,0.72
"Boost MS",7,0,0.72
"DataSplitting",7,0.0952380952380952,0.76
"MultipleDataSplitting",7,0,0.84
"Knockoff",7,0.0869565217391304,0.84
"Benjamini–Hochberg (BH)",7,0,0.72
"Boost DS",7,0,0.8
"Boost MS",7,0,0.8
"DataSplitting",7,0.04,0.96
"MultipleDataSplitting",7,0.04,0.96
"Knockoff",7,0.193548387096774,1
"Benjamini–Hochberg (BH)",7,0,0.88
"Boost DS",7,0,0.4
"Boost MS",7,0.125,0.84
"DataSplitting",7,0.111111111111111,0.96
"MultipleDataSplitting",7,0,0.88
"Knockoff",7,0,0.96
"Benjamini–Hochberg (BH)",7,0,0.88
"Boost DS",7,0,0.44
