"Method","Delta","FDP","Power"
"Boost DS",7,0.05,0.76
"Boost MS",7,0.0476190476190476,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0.64
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.2,0.8
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.2,0.8
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.130434782608696,0.8
"Boost MS",7,0.0833333333333333,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.0434782608695652,0.88
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.125,0.84
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.0869565217391304,0.84
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0869565217391304,0.84
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.0454545454545455,0.84
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0.72
"Boost MS",7,0,0.72
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.192307692307692,0.84
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0454545454545455,0.84
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.185185185185185,0.88
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0434782608695652,0.88
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0.92
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0.68
"Boost MS",7,0.166666666666667,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.260869565217391,0.68
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0909090909090909,0.8
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0.88
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0869565217391304,0.84
"Boost MS",7,0.0476190476190476,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.0952380952380952,0.76
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0869565217391304,0.84
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.275862068965517,0.84
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0476190476190476,0.8
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0.8
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.2,0.96
"Boost MS",7,0,0.96
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0.96
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0833333333333333,0.88
"Boost MS",7,0.0454545454545455,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.0833333333333333,0.88
