"V1","V2","V3","V4"
"LinReg DS","7","0.0555555555555556","0.68"
"LinReg MS","7","0","0.72"
"DataSplitting","7","0.192307692307692","0.84"
"MultipleDataSplitting","7","0.0909090909090909","0.8"
"Knockoff","7","0.16","0.84"
"BH","7","0","0.72"
"LinReg DS","7","0.0952380952380952","0.76"
"LinReg MS","7","0","0.76"
"DataSplitting","7","0.185185185185185","0.88"
"MultipleDataSplitting","7","0","0.88"
"Knockoff","7","0.12","0.88"
"BH","7","0","0.8"
"LinReg DS","7","0.15","0.68"
"LinReg MS","7","0","0.76"
"DataSplitting","7","0","0.84"
"MultipleDataSplitting","7","0","0.84"
"Knockoff","7","0.0869565217391304","0.84"
"BH","7","0","0.8"
"LinReg DS","7","0.1","0.72"
"LinReg MS","7","0.05","0.76"
"DataSplitting","7","0.0909090909090909","0.8"
"MultipleDataSplitting","7","0.0476190476190476","0.8"
"Knockoff","7","0.0869565217391304","0.84"
"BH","7","0.0476190476190476","0.8"
"LinReg DS","7","0.0952380952380952","0.76"
"LinReg MS","7","0","0.8"
"DataSplitting","7","0.0434782608695652","0.88"
"MultipleDataSplitting","7","0","0.84"
"Knockoff","7","0","0.88"
"BH","7","0","0.88"
"LinReg DS","7","0.208333333333333","0.76"
"LinReg MS","7","0","0.76"
"DataSplitting","7","0.125","0.84"
"MultipleDataSplitting","7","0.0454545454545455","0.84"
"Knockoff","7","0","0.84"
"BH","7","0","0.84"
"LinReg DS","7","0.352941176470588","0.88"
"LinReg MS","7","0","0.84"
"DataSplitting","7","0.294117647058824","0.96"
"MultipleDataSplitting","7","0.111111111111111","0.96"
"Knockoff","7","0.0416666666666667","0.92"
"BH","7","0","0.88"
"LinReg DS","7","0","0.6"
"LinReg MS","7","0","0.64"
"DataSplitting","7","0.08","0.92"
"MultipleDataSplitting","7","0.0454545454545455","0.84"
"Knockoff","7","0","0.84"
"BH","7","0","0.8"
"LinReg DS","7","0.0952380952380952","0.76"
"LinReg MS","7","0","0.8"
"DataSplitting","7","0.125","0.84"
"MultipleDataSplitting","7","0.0869565217391304","0.84"
"Knockoff","7","0.285714285714286","0.8"
"BH","7","0","0.8"
"LinReg DS","7","0.05","0.76"
"LinReg MS","7","0.16","0.84"
"DataSplitting","7","0.0454545454545455","0.84"
"MultipleDataSplitting","7","0","0.8"
"Knockoff","7","0.0454545454545455","0.84"
"BH","7","0","0.76"
"LinReg DS","7","0","0.6"
"LinReg MS","7","0","0.68"
"DataSplitting","7","0.208333333333333","0.76"
"MultipleDataSplitting","7","0","0.8"
"Knockoff","7","0.222222222222222","0.84"
"BH","7","0","0.76"
"LinReg DS","7","0.0454545454545455","0.84"
"LinReg MS","7","0","0.84"
"DataSplitting","7","0.115384615384615","0.92"
"MultipleDataSplitting","7","0","0.88"
"Knockoff","7","0.08","0.92"
"BH","7","0","0.92"
"LinReg DS","7","0.0909090909090909","0.8"
"LinReg MS","7","0","0.8"
"DataSplitting","7","0.0476190476190476","0.8"
"MultipleDataSplitting","7","0","0.8"
"Knockoff","7","0","0.8"
"BH","7","0","0.8"
