"Method","Delta","FDP","Power"
"Boost DS",7,0,0.88
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0434782608695652,0.88
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.25,0.84
"Boost MS",7,0.125,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0833333333333333,0.88
"Boost MS",7,0.0434782608695652,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0869565217391304,0.84
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.12,0.88
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0.84
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.105263157894737,0.68
"Boost MS",7,0,0.68
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0.68
"Boost MS",7,0,0.72
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.173913043478261,0.76
"Boost MS",7,0.136363636363636,0.76
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0.88
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.04,0.96
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0476190476190476,0.8
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.166666666666667,0.8
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.125,0.84
"Boost MS",7,0.0454545454545455,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0869565217391304,0.84
"Boost MS",7,0,0.92
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0909090909090909,0.8
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.227272727272727,0.68
"Boost MS",7,0,0.68
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0.72
"Boost MS",7,0,0.76
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.142857142857143,0.96
"Boost MS",7,0,0.96
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.142857142857143,0.72
"Boost MS",7,0.0476190476190476,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.142857142857143,0.72
"Boost MS",7,0.192307692307692,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.16,0.84
"Boost MS",7,0.12,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0952380952380952,0.76
"Boost MS",7,0,0.84
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.0434782608695652,0.88
"Boost MS",7,0,0.88
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",8,0.0434782608695652,0.88
"Boost MS",8,0,0.84
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.08,0.92
"Boost MS",8,0.0416666666666667,0.92
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0869565217391304,0.84
"Boost MS",8,0.0454545454545455,0.84
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0454545454545455,0.84
"Boost MS",8,0,0.88
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0454545454545455,0.84
"Boost MS",8,0,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0833333333333333,0.88
"Boost MS",8,0,0.88
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0.88
"Boost MS",8,0,0.84
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0555555555555556,0.68
"Boost MS",8,0,0.72
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0.68
"Boost MS",8,0.0869565217391304,0.84
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.173913043478261,0.76
"Boost MS",8,0,0.76
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.294117647058824,0.96
"Boost MS",8,0.0769230769230769,0.96
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0.84
"Boost MS",8,0,0.88
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0476190476190476,0.8
"Boost MS",8,0,0.84
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0476190476190476,0.8
"Boost MS",8,0.2,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0909090909090909,0.8
"Boost MS",8,0,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0.84
"Boost MS",8,0.08,0.92
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.16,0.84
"Boost MS",8,0.0416666666666667,0.92
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0.68
"Boost MS",8,0,0.68
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.142857142857143,0.72
"Boost MS",8,0.16,0.84
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0,0.92
"Boost MS",8,0.0769230769230769,0.96
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.142857142857143,0.72
"Boost MS",8,0.153846153846154,0.88
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.105263157894737,0.68
"Boost MS",8,0.2,0.8
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0869565217391304,0.84
"Boost MS",8,0.12,0.88
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.230769230769231,0.8
"Boost MS",8,0.153846153846154,0.88
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",8,0.0434782608695652,0.88
"Boost MS",8,0.258064516129032,0.92
"DataSplitting",8,0,0
"MultipleDataSplitting",8,0,0
"Knockoff",8,0,0
"Benjamini–Hochberg (BH)",8,0,0
"Boost DS",9,0.0434782608695652,0.88
"Boost MS",9,0,0.84
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0,0.88
"Boost MS",9,0,0.88
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0.125,0.84
"Boost MS",9,0,0.84
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0.0434782608695652,0.88
"Boost MS",9,0,0.88
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0,0.84
"Boost MS",9,0,0.84
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0,0.88
"Boost MS",9,0,0.84
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0.241379310344828,0.88
"Boost MS",9,0.153846153846154,0.88
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0.296296296296296,0.76
"Boost MS",9,0,0.72
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0,0.68
"Boost MS",9,0,0.76
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0,0.76
"Boost MS",9,0,0.76
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
"Benjamini–Hochberg (BH)",9,0,0
"Boost DS",9,0,0.92
"Boost MS",9,0,0.88
"DataSplitting",9,0,0
"MultipleDataSplitting",9,0,0
"Knockoff",9,0,0
