"seed","Method","Delta","FDP","Power"
1,"Boost DS",7,0.0833333333333333,0.88
1,"Boost MS",7,0,0.88
1,"DataSplitting",7,0.148148148148148,0.92
1,"MultipleDataSplitting",7,0.0434782608695652,0.88
1,"Knockoff",7,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",7,0,0.88
2,"Boost DS",7,0,0.72
2,"Boost MS",7,0,0.72
2,"DataSplitting",7,0.192307692307692,0.84
2,"MultipleDataSplitting",7,0.0434782608695652,0.88
2,"Knockoff",7,0.125,0.84
2,"Benjamini–Hochberg (BH)",7,0,0.76
3,"Boost DS",7,0.142857142857143,0.72
3,"Boost MS",7,0.166666666666667,0.8
3,"DataSplitting",7,0.115384615384615,0.92
3,"MultipleDataSplitting",7,0,0.84
3,"Knockoff",7,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",7,0,0.8
4,"Boost DS",7,0.125,0.84
4,"Boost MS",7,0,0.88
4,"DataSplitting",7,0.0416666666666667,0.92
4,"MultipleDataSplitting",7,0,0.88
4,"Knockoff",7,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",7,0,0.88
5,"Boost DS",7,0.0526315789473684,0.72
5,"Boost MS",7,0,0.72
5,"DataSplitting",7,0.0476190476190476,0.8
5,"MultipleDataSplitting",7,0,0.76
5,"Knockoff",7,0,0.8
5,"Benjamini–Hochberg (BH)",7,0,0.8
6,"Boost DS",7,0.130434782608696,0.8
6,"Boost MS",7,0,0.76
6,"DataSplitting",7,0,0.84
6,"MultipleDataSplitting",7,0.0454545454545455,0.84
6,"Knockoff",7,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",7,0,0.84
7,"Boost DS",7,0,0.72
7,"Boost MS",7,0,0.68
7,"DataSplitting",7,0.0952380952380952,0.76
7,"MultipleDataSplitting",7,0,0.76
7,"Knockoff",7,0.05,0.76
7,"Benjamini–Hochberg (BH)",7,0,0.76
8,"Boost DS",7,0.0476190476190476,0.8
8,"Boost MS",7,0,0.76
8,"DataSplitting",7,0.0833333333333333,0.88
8,"MultipleDataSplitting",7,0,0.84
8,"Knockoff",7,0.153846153846154,0.88
8,"Benjamini–Hochberg (BH)",7,0,0.84
