"id","followers_insta","followee_insta","n_posts_insta","followers_twi","followee_twi","n_posts_twi","subs_yt","tot_views_yt","n_videos_yt","year_creation_yt","year_creation_tw","w_h_stream_tw","m_h_stream_tw","t_h_stream_tw","w_d_active_tw","m_d_active_tw","t_d_active_tw","w_followers_gain","m_followers_gain","t_followers_gain","w_peak_viewers","m_peak_viewers","t_peak_viewers","w_views_gain","m_views_gain","t_views_gain","w_h_watched","m_h_watched","t_h_watched","cuncurrent_record_tw","total_h_stream_tw","total_followers_tw","total_views_tw","language_tw","A18flag_tw","mst_cat_h_tw","mst_cat_tot_followers_gained_tw","mst_cat_avg_w_channels","mst_cat_avg_w_viewers","avg_n_cat_per_stream_tw","avg_foll_gained_per_stream_tw","avg_mo_h_tw","avg_tu_h_tw","avg_we_h_tw","avg_th_h_tw","avg_fr_h_tw","avg_sa_h_tw","avg_su_h_tw","avg_mo_foll_gain","avg_tu_foll_gain","avg_we_foll_gain","avg_th_foll_gain","avg_fr_foll_gain","avg_sa_foll_gain","avg_su_foll_gain","tot_active_on_mo","tot_active_on_tu","tot_active_on_we","tot_active_on_th","tot_active_on_fr","tot_active_on_sa","tot_active_on_su","female_flag","_12/21_foll_balance","_11/21_foll_balance","_10/21_foll_balance","_09/21_foll_balance","_08/21_foll_balance","_07/21_foll_balance","_06/21_foll_balance","_05/21_foll_balance","_04/21_foll_balance","_03/21_foll_balance","_02/21_foll_balance","_01/21_foll_balance","_12/20_foll_balance","_11/20_foll_balance","_10/20_foll_balance","_09/20_foll_balance","_08/20_foll_balance","_07/20_foll_balance","_06/20_foll_balance","_05/20_foll_balance","_04/20_foll_balance","_03/20_foll_balance","_02/20_foll_balance","_01/20_foll_balance","_12/21_views","_11/21_views","_10/21_views","_09/21_views","_08/21_views","_07/21_views","_06/21_views","_05/21_views","_04/21_views","_03/21_views","_02/21_views","_01/21_views","_12/20_views","_11/20_views","_10/20_views","_09/20_views","_08/20_views","_07/20_views","_06/20_views","_05/20_views","_04/20_views","_03/20_views","_02/20_views","_01/20_views","avg_w_cunc_tw","avg_m_cunc_tw","avg_t_cunc_tw","avg_views_per_stream_tw"
"A","1400000","284","1187","1500000","354","7491","2530000","664778651","454","2011","2010","19.7","53.8","152","7","22","56","825","3067","7180","1795","2255","2255","22414","72975","202093","19291","57313","156929","6428","2183","409020","5896657","german","0","773","78300","4034","350930","1.2","470","2.4","2.5","2.4","2.4","2.7","3.2","3.5","234","221","256","208","230","355","340","164","150","132","135","118","59","76","0","875","2794","2065","2050","2267","8566","3811","6509","2368","3599","4951","8462","5472","3541","8329","7990","10673","10534","9641","20411","16185","9161","5339","10428","23600","66400","59100.0","74300.0","72300.0","184000.0","98500.0","189000","194000","71800","108000","135000","107000","72700","146000","121000","111000","132000","146000","263000","153000","89800","37100","73300","978","1066","1027","6400"
"B","9840","117","87","9","0","0","735000","218006645","5774","2011","2010","2.2","8.9","28.6","2","8","26","16","671","1836","131","569","640","233","1745","5150","217","2341","6030","881","278","50261","279769","english","0","200","3900","12","115","1.1","206","1.9","2.4","2.3","1.8","1.6","1.3","1.9","31","30","17","33","29","28","39","7","5","6","11","67","68","14","0","131","1131","504","165","307","296","454","372","584","714","954","2141","1514","2114","2143","1941","2120","76","3333","254","297","124","267","257","450","2200","1900.0","1000.0","1300.0","1800.0","1500.0","1800","2500","2400","2900","4000","4100","5400","5100","2300","10800","980","13300","2100","2800","1500","1700","2500","97.5","263","211","730"
"C","1849","4","74","61900","66","1486","87000","3040824","130","2017","2018","3.2","18.8","59.3","2","11","39","172","2072","15105","752","1219","2263","8213","60894","279003","1229","10272","44067","15871","823","259697","2583526","spanish","0","674","169000","4034","350930","1.2","809","2.7","2.6","2.4","2.3","2.1","2.8","2.7","613","600","549","642","531","538","993","49","48","47","47","47","47","42","1","169","3414","6375","7575","2882","17681","1896","13563","4435","15007","8855","8435","10568","5271","5741","44316","34020","28076","20238","10568","10604","0","0","0","11100","75000","96700.0","143000.0","54300.0","65200.0","53000.0","233000","248000","197000","154000","114000","136000","55900","138000","305000","178000","156000","93700","48300","28500","0","0","0","382","547","743","8000"
"D","95928","247","437","65000","484","15800","172000","11955370","256","2017","2016","37.8","157","419","7","25","70","623","2279","9025","2473","2473","4864","158911","486411","1229638","25324","95533","266291","26932","4795","263714","9810573","french","0","1080","58700","6518","130587","2","310","5.6","5.7","5.7","5.5","5.3","6.1","5.8","285","430","290","262","169","347","329","122","131","126","134","114","104","117","1","635","2687","2304","4427","10191","3503","3028","2909","-1582","4816","2436","2374","2095","8941","242","2575","5114","8108","21791","48533","51608","5255","2763","1765","16100","487000","283000.0","409000.0","665000.0","393000.0","424000.0","504000","383000","325000","303000","197000","497000","607000","161000","105000","167000","286000","628000","1130000","499000","92700","65500","65100","671","607","635","11500"
"E","1158","257","1036","1312","536","11000","466","14503","6","2015","2017","28.9","106","199","5","14","27","264","1300","1461","1114","10673","10673","98307","460621","478185","7550","39429","44595","10673","4053","9468","790376","english","0","555","706","4034","350930","2.8","16","5.3","5.9","6.3","6.3","6.3","6.5","6.7","10","9","11","13","11","19","24","78","111","119","116","117","91","24","1","286","1066","57","80","197","147","135","120","-12","68","70","166","296","203","27","652","290","168","262","209","141","186","81","120","99900","364000","6400.0","14100.0","26800.0","9000.0","5600.0","4700","1300","3400","5200","5600","8900","7500","8400","4700","10700","5500","9400","6500","5000","8600","4300","6900","261","369","224","1300"
"F","1000000","388","99","695700","389","53700","11600000","6172546059","10447","2012","2014","4","22.6","83.4","5","16","53","3174","21754","66511","3038","3566","3693","18622","115987","409757","9945","53057","192384","28863","786","1145326","5135309","spanish","0","589","414000","2399","167951","1.7","2635","1.7","1.8","1.9","1.7","1.5","1.7","1.8","1367","1481","1526","1337","1201","1426","1398","68","74","61","71","56","58","68","0","7439","22163","16122","27759","35485","40582","32145","34495","38592","65894","88366","93656","70137","44813","42945","34305","47652","49874","66659","119838","59472","21277","62983","0","27500","125000","110000.0","186000.0","193000.0","188000.0","176000.0","200000","274000","363000","365000","298000","248000","189000","173000","120000","152000","130000","218000","193000","88300","47300","929000","0","2486","2348","2306","11700"
"G","87400","996","923","84900","968","16800","164000","16805933","240","2017","2010","8","146","450","1","22","72","10","-128","3418","2260","12564","31208","8503","616358","2370399","6444","153021","607565","31208","8880","563453","36716119","english","0","4030","236000","4034","350930","1.4","434","6.2","7.1","7.2","7.2","7.2","6.8","6.7","386","333","303","324","321","353","350","179","181","185","181","190","185","184","0","-107","437","1770","1150","1855","13577","3707","6291","-19755","23788","10875","4257","7118","9514","3907","4782","4129","3376","2092","2545","22733","7270","10133","11880","13400","1140000","1020000.0","258000.0","961000.0","439000.0","359000.0","335000","406000","296000","1190000","320000","1210000","419000","689000","1170000","360000","846000","1020000","435000","880000","535000","617000","518000","806","1043","1348","28200"
"H","2582","2274","324","2895","2893","12400","69","1110","25","2016","2017","10.3","45.7","143","5","14","57","74","229","770","1202","1202","1202","41791","124270","336977","3690","15377","38118","23242","3134","27960","3262285","english","0","1675","9800","50","3023","1.3","29","2.7","2.9","2.5","2.8","2.6","2.5","2.6","13","19","16","18","12","13","20","156","213","181","202","187","135","89","0","87","243","187","325","255","219","204","621","1482","300","267","307","291","327","537","1085","1662","323","216","159","521","160","115","118","44000","891000","93500.0","144000.0","94400.0","112000.0","50700.0","704000","693000","9600","9100","11800","7500","7700","8500","11200","557000","7600","6100","7900","105000","5800","4900","5300","359","336","265","3400"
"I","9941","69","18","3645","95","1648","148","65618","31","2016","2016","3.2","11.6","34.6","3","9","26","481","1650","4088","569","764","764","13501","46878","113283","1232","4919","13117","1613","5557","53519","1572763","english","1","2028","65200","4034","350930","1.8","49","4.3","4.5","4.8","4","4.4","5","2.9","62","40","154","37","84","47","37","180","203","205","154","201","201","124","1","550","1406","1668","679","667","535","1856","2481","-3881","8685","816","2749","5885","299","-4274","209","120","369","1016","588","194","11437","632","652","15700","38900","41300.0","28800.0","28900.0","56200.0","113000.0","110000","103000","115000","94200","104000","93900","22600","18500","16900","19700","30500","36700","19100","24500","20400","19800","17600","384","423","379","1400"
"J","39400","1312","59","55700","2107","23500","192000","21907776","104","2020","2015","24.3","179","358","5","22","63","1330","10663","28440","2047","2684","9166","21506","189929","673766","19541","154674","356613","9464","2793","267842","2793603","spanish","0","1730","167000","898","9549","2","485","5","4.8","4.6","4.8","4.4","6","4.8","425","359","394","380","382","444","383","63","81","87","87","80","87","83","0","1511","11717","8691","8943","13730","13050","14487","24957","20763","22755","22922","25710","12519","8376","12617","6313","11352","8222","4950","5259","6925","306","274","-1","25700","194000","381000.0","95300.0","147000.0","176000.0","139000.0","265000","137000","208000","209000","186000","89900","94000","110000","44400","57100","63400","44500","47800","36400","1600","2300","85000","805","861","995","5100"
