"Method","Delta","FDP","Power"
"Boost DS",7,0,0
"Boost MS",7,0,0.2
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,1,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.5
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.818181818181818,0.2
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.6
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,1
"Boost MS",7,0.0909090909090909,1
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.923076923076923,0.1
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.2
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.333333333333333,0.8
"Boost MS",7,0.1,0.9
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.25,0.9
"Boost MS",7,0.4,0.9
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0.363636363636364,0.7
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.25,0.9
"Boost MS",7,0.0909090909090909,1
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.2
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0.4,0.9
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.3
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0.0909090909090909,1
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,1,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.6
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.6
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0.357142857142857,0.9
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.2,0.8
"Boost MS",7,0.333333333333333,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.2,0.8
"Boost MS",7,0.181818181818182,0.9
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.4,0.6
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0.111111111111111,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.818181818181818,0.2
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.652173913043478,0.8
"Boost MS",7,0,0.7
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0.2,0.8
"Boost MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,1,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0,0.6
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0,0
"Benjamini–Hochberg (BH)",7,0,0
"Boost DS",7,0,0
"Boost MS",7,0.428571428571429,0.8
