"","eta","max_depth","min_child_weight","gamma","subsample","colsample_bytree","lambda","alpha","mean_R2"
"1",0.005,6,1,0,0.4,0.4,0,0,0.502848456162637
"2",0.01,6,1,0,0.4,0.4,0,0,0.576870654303938
"3",0.05,6,1,0,0.4,0.4,0,0,0.540812438453631
"4",0.1,6,1,0,0.4,0.4,0,0,0.561682630067006
"5",0.005,8,1,0,0.4,0.4,0,0,0.496290063382579
"6",0.01,8,1,0,0.4,0.4,0,0,0.548082430252984
"7",0.05,8,1,0,0.4,0.4,0,0,0.59338974903409
"8",0.1,8,1,0,0.4,0.4,0,0,0.388008492868252
"9",0.005,10,1,0,0.4,0.4,0,0,0.4774273846306
"10",0.01,10,1,0,0.4,0.4,0,0,0.553111245986652
"11",0.05,10,1,0,0.4,0.4,0,0,0.525869467412621
"12",0.1,10,1,0,0.4,0.4,0,0,0.473122435798404
"13",0.005,12,1,0,0.4,0.4,0,0,0.469472729736235
"14",0.01,12,1,0,0.4,0.4,0,0,0.537395825109244
"15",0.05,12,1,0,0.4,0.4,0,0,0.592258389427454
"16",0.1,12,1,0,0.4,0.4,0,0,0.508011434259241
"17",0.005,15,1,0,0.4,0.4,0,0,0.449037172749084
"18",0.01,15,1,0,0.4,0.4,0,0,0.519006592759624
"19",0.05,15,1,0,0.4,0.4,0,0,0.535147024414752
"20",0.1,15,1,0,0.4,0.4,0,0,0.391238470646311
"21",0.005,6,5,0,0.4,0.4,0,0,0.503576677456832
"22",0.01,6,5,0,0.4,0.4,0,0,0.604010981196404
"23",0.05,6,5,0,0.4,0.4,0,0,0.559324507114099
"24",0.1,6,5,0,0.4,0.4,0,0,0.618735822884393
"25",0.005,8,5,0,0.4,0.4,0,0,0.481208836468088
"26",0.01,8,5,0,0.4,0.4,0,0,0.607608802266127
"27",0.05,8,5,0,0.4,0.4,0,0,0.590563390247471
"28",0.1,8,5,0,0.4,0.4,0,0,0.608339993928604
"29",0.005,10,5,0,0.4,0.4,0,0,0.459073393179964
"30",0.01,10,5,0,0.4,0.4,0,0,0.582440649407661
"31",0.05,10,5,0,0.4,0.4,0,0,0.584208227373032
"32",0.1,10,5,0,0.4,0.4,0,0,0.556061105886079
"33",0.005,12,5,0,0.4,0.4,0,0,0.55467288301019
"34",0.01,12,5,0,0.4,0.4,0,0,0.5814677901084
"35",0.05,12,5,0,0.4,0.4,0,0,0.552801123536069
"36",0.1,12,5,0,0.4,0.4,0,0,0.569996596937599
"37",0.005,15,5,0,0.4,0.4,0,0,0.516528960049149
"38",0.01,15,5,0,0.4,0.4,0,0,0.559568808327905
"39",0.05,15,5,0,0.4,0.4,0,0,0.648035432374962
"40",0.1,15,5,0,0.4,0.4,0,0,0.551888807095964
"41",0.005,6,10,0,0.4,0.4,0,0,0.43562986924425
"42",0.01,6,10,0,0.4,0.4,0,0,0.523663803469938
"43",0.05,6,10,0,0.4,0.4,0,0,0.528914792990349
"44",0.1,6,10,0,0.4,0.4,0,0,0.543105183838899
"45",0.005,8,10,0,0.4,0.4,0,0,0.414122761400598
"46",0.01,8,10,0,0.4,0.4,0,0,0.538998606691917
"47",0.05,8,10,0,0.4,0.4,0,0,0.524760676539083
"48",0.1,8,10,0,0.4,0.4,0,0,0.547949192507509
"49",0.005,10,10,0,0.4,0.4,0,0,0.406272085391855
"50",0.01,10,10,0,0.4,0.4,0,0,0.557202365787616
"51",0.05,10,10,0,0.4,0.4,0,0,0.548724202296242
"52",0.1,10,10,0,0.4,0.4,0,0,0.522632907455649
"53",0.005,12,10,0,0.4,0.4,0,0,0.463474854023204
"54",0.01,12,10,0,0.4,0.4,0,0,0.50382882321234
"55",0.05,12,10,0,0.4,0.4,0,0,0.56531462417004
"56",0.1,12,10,0,0.4,0.4,0,0,0.549994299418687
"57",0.005,15,10,0,0.4,0.4,0,0,0.42485931919677
"58",0.01,15,10,0,0.4,0.4,0,0,0.508269738770189
"59",0.05,15,10,0,0.4,0.4,0,0,0.568559325874771
"60",0.1,15,10,0,0.4,0.4,0,0,0.537554082706588
"61",0.005,6,1,0.1,0.4,0.4,0,0,0.510190809465073
"62",0.01,6,1,0.1,0.4,0.4,0,0,0.560425854382491
"63",0.05,6,1,0.1,0.4,0.4,0,0,0.578623987162597
"64",0.1,6,1,0.1,0.4,0.4,0,0,0.505825844503759
"65",0.005,8,1,0.1,0.4,0.4,0,0,0.463192497272807
"66",0.01,8,1,0.1,0.4,0.4,0,0,0.59861275451353
"67",0.05,8,1,0.1,0.4,0.4,0,0,0.501374024002534
"68",0.1,8,1,0.1,0.4,0.4,0,0,0.510653424373003
"69",0.005,10,1,0.1,0.4,0.4,0,0,0.480922249898439
"70",0.01,10,1,0.1,0.4,0.4,0,0,0.547610508165382
"71",0.05,10,1,0.1,0.4,0.4,0,0,0.527157241293047
"72",0.1,10,1,0.1,0.4,0.4,0,0,0.524042966311776
"73",0.005,12,1,0.1,0.4,0.4,0,0,0.484876833585151
