"V1" "V2" "V3" "V4" "V5" "mean_rsquared"
"myresults" 0 0 0 0 0 0
"result" 100 104 1 0.593725022454071 0.646128096228054 0.619926559341062
"result.1" 100 104 6 0.618020536339575 0.604536516139789 0.611278526239682
"result.2" 100 104 11 0.611545473441189 0.587502405667797 0.599523939554493
"result.3" 100 104 16 0.614490385156703 0.60966962032903 0.612080002742866
"result.4" 100 104 21 0.583114455512858 0.604576248453756 0.593845351983307
"result.5" 100 149 1 0.616971726519144 0.603869742777068 0.610420734648106
"result.6" 100 149 6 0.599078794979929 0.613098785433552 0.60608879020674
"result.7" 100 149 11 0.598925618486828 0.614687533686171 0.6068065760865
"result.8" 100 149 16 0.61093009476382 0.605033993906136 0.607982044334978
"result.9" 100 149 21 0.628213453723459 0.635814350533987 0.632013902128723
"result.10" 100 208 1 0.594439157878314 0.634696210418274 0.614567684148294
"result.11" 100 208 6 0.590890255372274 0.58769790082012 0.589294078096197
"result.12" 100 208 11 0.622254393794329 0.611725837884195 0.616990115839262
"result.13" 100 208 16 0.599279813251675 0.610852954566399 0.605066383909037
"result.14" 100 208 21 0.602851079745942 0.622993257061393 0.612922168403667
"result.15" 100 260 1 0.60899559270723 0.603569861854782 0.606282727281006
"result.16" 100 260 6 0.58102406165925 0.607368044343067 0.594196053001159
"result.17" 100 260 11 0.607191752389501 0.602524694365382 0.604858223377441
"result.18" 100 260 16 0.626872299964931 0.603603913870905 0.615238106917918
"result.19" 100 260 21 0.623627725205906 0.614488240608566 0.619057982907236
"result.20" 100 347 1 0.606273487940095 0.600321407099443 0.603297447519769
"result.21" 100 347 6 0.608036926170789 0.605335437993797 0.606686182082293
"result.22" 100 347 11 0.600933881593039 0.622180718952466 0.611557300272752
"result.23" 100 347 16 0.605494294886065 0.62505564384361 0.615274969364837
"result.24" 100 347 21 0.610834806335633 0.633414790197528 0.62212479826658
"result.25" 100 521 1 0.585436355607059 0.608182450397628 0.596809403002344
"result.26" 100 521 6 0.620752511198498 0.617159327391274 0.618955919294885
"result.27" 100 521 11 0.601055867982388 0.609179307110812 0.6051175875466
"result.28" 100 521 16 0.61094280448245 0.63622534922957 0.62358407685601
"result.29" 100 521 21 0.597566741919863 0.624219893914178 0.61089331791702
"result.30" 350 104 1 0.614271979179253 0.612225142880317 0.613248561029785
"result.31" 350 104 6 0.611647072135648 0.614440184432886 0.613043628284267
"result.32" 350 104 11 0.611543558341291 0.578133326878495 0.594838442609893
"result.33" 350 104 16 0.613472219948837 0.624120450185829 0.618796335067333
"result.34" 350 104 21 0.607044124453964 0.638094833597962 0.622569479025963
"result.35" 350 149 1 0.606463445378499 0.604636096856283 0.605549771117391
"result.36" 350 149 6 0.619447761903815 0.591835250893673 0.605641506398744
